"Billboard","Billboard"
"Units","Units"
"General Information","General Information"
"Content","Content"
"Title","Title"
"Status","Status"
"Enabled","Enabled"
"Disable","Disable"
"Not visible on frontend. Used for internal reference","Not visible on frontend. Used for internal reference"
"Identifier","Identifier"
"For internal use, must be unique. Use only alphanumeric characters, underscores and dashes","For internal use, must be unique. Use only alphanumeric characters, underscores and dashes"
"Number of Columns","Number of Columns"
"Set the number of images in a row","Set the number of images in a row"
"Billboard Type","Billboard Type"
"Image Options for Small Screens","Image Options for Small Screens"
"Select how images are shown on small screen devices","Select how images are shown on small screen devices"
"Image Options for Medium Screens","Image Options for Medium Screens"
"Select how images are shown on medium screen devices","Select how images are shown on medium screen devices"
"Specific Images for Medium Screens","Specific Images for Medium Screens"
"Select one or more images to be shown on medium screens (Hold Ctrl+click to select multiple images)","Select one or more images to be shown on medium screens (Hold Ctrl+click to select multiple images)"
"Background Color","Background Color"
"Select background color for the entire section","Select background color for the entire section"
"Padding Top","Padding Top"
"If you want to set your own padding, enter it here (e.g. 50). This is the space in pixels at the top of the images","If you want to set your own padding, enter it here (e.g. 50). This is the space in pixels at the top of the images"
"Padding Bottom","Padding Bottom"
"If you want to set your own padding, enter it here (e.g. 50). This is the space in pixels at the bottom of the images","If you want to set your own padding, enter it here (e.g. 50). This is the space in pixels at the bottom of the images"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Image #1","Image #1"
"Image #2","Image #2"
"Image #3","Image #3"
"Image for Large Screens","Image for Large Screens"
"Recommended image width: 1067px","Recommended image width: 1067px"
"Optimized Image for Medium and Small Screens","Optimized Image for Medium and Small Screens"
"Recommended image width: 640px","Recommended image width: 640px"
"Alt Attribute Text","Alt Attribute Text"
"Enter an alternate text for the image","Enter an alternate text for the image"
"Link","Link"
"URL to redirect when image is clicked. Could be an absolute or relative path. Leave empty for no link","URL to redirect when image is clicked. Could be an absolute or relative path. Leave empty for no link"
"This billboard no longer exists.","This billboard no longer exists."
"Add Billboard","Add Billboard"
"Billboard successfully saved.","Billboard successfully saved."
"There was a problem saving the billboard.","There was a problem saving the billboard."
"Unable to find the billboard to save.","Unable to find the billboard to save."
"Billboard was successfully deleted.","Billboard was successfully deleted."
"There was an error deleting the billboard.","There was an error deleting the billboard."
"Could not find the billboard to delete.","Could not find the billboard to delete."
"Please select billboards to delete.","Please select billboards to delete."
"Total of %d billboard units were successfully deleted.","Total of %d billboard units were successfully deleted."
"There was an error deleting the billboard units.","There was an error deleting the billboard units."
"Please select billboard units.","Please select billboard units."
"There was an error updating the billboard units.","There was an error updating the billboard units."
"Total of %d billboard units were successfully updated.","Total of %d billboard units were successfully updated."
"There was an error updating the billboar units.","There was an error updating the billboar units."
"Store Views","Store Views"
"Save Billboard","Save Billboard"
"Delete Billboard","Delete Billboard"
"Save And Continue Edit","Save And Continue Edit"
"Edit Billboard '%s","Edit Billboard '%s"
"Identifier","Identifier"
"Created at","Created at"
"Updated at","Updated at"
"Action","Action"
"Edit","Edit"
"Are you sure?","Are you sure?"
"Change status","Change status"
