"Actions","Действия"
"An error occurred while marking notification as read.","Ошибка при попытке пометить сообщение как прочитанное."
"An error occurred while marking the messages as read.","Ошибка при попытке пометить сообщения как прочитанные."
"An error occurred while removing messages.","Ошибка при удалении сообщений."
"An error occurred while removing the message.","Ошибка при удалении сообщения."
"Are you sure?","Вы уверены?"
"Date Added","Дата добавления"
"Last Update","Последнее обновление"
"Mark as Read","Пометить как прочитанное"
"Mark as read","Пометить как прочитанное"
"Message","Сообщение"
"Messages Inbox","Входящие сообщения"
"Notifications","Уведомления"
"Please select messages.","Пожалуйста, выберите сообщения."
"Read Details","Подробнее"
"Remove","Удалить"
"Severity","Важность"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"The message has been marked as read.","Сообщение помечено как прочитанное."
"The message has been removed.","Сообщение удалено."
"Total of %d record(s) have been marked as read."," %d записей помечены как прочитанные."
"Total of %d record(s) have been removed."," %d записей удалено"
"Unable to proceed. Please, try again.","Невозможно продолжить. Пожалуйста, повторите попытку позже."
"Update Frequency","Периодичность обновлений"
"Use HTTPS to Get Feed","Использовать HTTPS для получения сообщений"
"Wrong message type","Неверный тип сообщения"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведом."
