"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Ответственность эмитента карту"
"Card Verification","Проверка карты"
"Enrolled","Внесено в список"
"Enrolled but Authentication Unavailable","Внесено в список, но аутентификация невозможна"
"Failed","Не успешно"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Ответственность продавца"
"Not Enrolled","Не внесено в список"
"Order cannot be placed.","Заказ не может быть оформлен."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Пожалуйста, продолжите оформление заказа."
"Please verify the card with the issuer bank before placing the order.","Пожалуйста, проверьте карту у банка, который её выдал, перед оформлением заказа."
"Please verify the card with the issuer bank:","Пожалуйста, проверьте карту у банка, который её выдал:"
"Start/Reset Validation...","Начать/Прекратить проверку..."
"Successful","Успешно"
"Successful attempt","Успешная попытка"
"The card has failed verification with the issuer bank.","Карта не прошла проверку у банка, который её выдал."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Передана неверная платёжная информация или истёк период ожидания ответа. Пожалуйста, попробуйте снова."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Передана неверная платёжная информация или истёк период ожидания ответа. Пожалуйста, попробуйте снова."
"This card has failed validation and cannot be used.","Карта не прошла проверку и не может быть использована."
"This card has failed validation, but it is possible to place the order.","Карта не прошла проверку, но можно продолжить оформление заказа."
"To ensure the security of your transactions","To ensure the security of your transactions"
"Unable to complete","Невозможно завершить"
"Validation failed.","Проверка не пройдена."
"Verification Failed","Проверка не пройдена"
"Verification Successful","Проверка пройдена успешно"
"Verification cannot be processed","Проверка не может быть проведена"
"Verified by Visa","Verified by Visa"
