"A block identifier with the same properties already exists in the selected store.","Идентификатор блока с такими параметрами уже существует в выбранном магазине."
"A directory with the same name already exists. Please try another folder name.","Папка с таким именем уже существует. Пожалуйста, укажите другое название."
"A page URL key for specified store already exists.","Адрес страницы для указанного магазина уже существует."
"Action","Действие"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить новую страницу"
"All Countries","Все страны"
"An error occurred while saving the page.","Ошибка при сохранении страницы."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Вы действительно хотите удалить текущую папку?"
"Are you sure you want to delete the selected file?","Вы действительно хотите удалить выбранный файл?"
"Block","Блок"
"Block Information","Информация о блоке"
"Block Title","Заголовок блока"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS главная страница"
"CMS No Cookies Page","CMS страница ""Cookies не включены"""
"CMS No Route Page","CMS страница ""не найдено"""
"CMS No-Route Page","CMS страница ""не найдено"""
"CMS Page","CMS страница"
"CMS Page Link","CMS ссылка на страницу"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS страницы (все)"
"CMS Static Block","CMS статичный блок"
"CMS Static Block Default Template","CMS статичный блок - шаблон по умолчанию"
"Cannot create new directory.","Невозможно создать новую папку."
"Cannot delete directory %s.","Невозможно удалить папку %s."
"Cannot delete root directory %s.","Невозможно удалить корневую папку %s."
"Cannot upload file.","Невозможно закачать файл."
"Collapse All","Свернуть всё"
"Content","Содержимое"
"Content Heading","Заголовок содержимого"
"Content Management","Управление содержимым"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","Создать папку..."
"Custom Design","Настраиваемый дизайн"
"Custom Design From","Использовать дизайн с"
"Custom Design To","Использовать дизайн до"
"Custom Layout","Настраиваемый макет"
"Custom Layout Update XML","XML обновления настраиваемого макета"
"Custom Theme","Настраиваемая тема"
"Customer Tax Class Information","Информация о налоговых классах для клиента"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete File","Удалить файл"
"Delete Folder","Удалить папку"
"Delete Page","Удалить страницу"
"Description","Описание"
"Design","Дизайн"
"Disabled","Отключено"
"Disabled Completely","Отключено полностью"
"Disabled by Default","Отключено по умолчанию"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Enable WYSIWYG Editor","Включить редактор WYSIWYG"
"Enabled","Включено"
"Enabled by Default","Включено по умолчанию"
"Expand All","Развернуть всё"
"General Information","Общая информация"
"Go to Home Page","Перейти на главную страницу"
"Home","Главная"
"ID","ИД"
"Identifier","Идентификатор"
"If empty, the Page Title will be used","Если не заполнено, то будет использован заголовок страницы"
"Images (%s)","Изображения (%s)"
"Insert File","Вставить файл"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Неверное название папки. Пожалуйста, используйте буквы, цифры, подчёркивания и тире."
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Макет"
"Layout Update XML","XML обновления макета"
"Link to a CMS Page","Ссылка на CMS страницу"
"Manage Pages","Управление страницами"
"Media Gallery","Медиа галерея"
"Media Storage","Медиа хранилище"
"Meta Data","Данные META"
"Meta Description","Описание META"
"Meta Keywords","Ключевые слова META"
"New Block","Новый блок"
"New Folder Name:","Название новой папки:"
"New Page","Новая страница"
"No files found","Файлы не найдены"
"Page Information","Информация о странице"
"Page Layout","Макет страницы"
"Page Status","Статус страницы"
"Page Title","Заголовок страницы"
"Pages","Страницы"
"Product Tax Class Information","Информация о налоговых классах для товара"
"Redirect to CMS-page if Cookies are Disabled","Перенаправить на CMS страницу, если отключены Cookies"
"Relative to Website Base URL","Относительно базового URL сайта"
"Save Block","Сохранить блок"
"Save Page","Сохранить страницу"
"Save Process","Сохранить процесс"
"Select Block...","Выберите блок..."
"Select Page...","Выберите страницу..."
"Show Breadcrumbs for CMS Pages","Показать строку навигации для CMS страниц"
"Show Notice if JavaScript is Disabled","Показать уведомление, если отключён JavaScript"
"Static Blocks","Статичные блоки"
"Status","Статус"
"Storage Root","Хранилище"
"Store View","Представление магазина"
"Template","Шаблон"
"The block has been deleted.","Блок удалён."
"The block has been saved.","Блок сохранён."
"The directory %s is not writable by server.","Папка %s недоступна для записи."
"The page URL key cannot consist only of numbers.","Адрес страницы не может состоять только из чисел."
"The page URL key contains capital letters or disallowed symbols.","Адрес страницы содержит большие буквы или запрещённые символы."
"The page has been deleted.","Страница удалена."
"The page has been saved.","Страница сохранена."
"The static block content cannot contain  directive with its self.","Содержимое статичного блока не может содержать ссылку на себя."
"This block no longer exists.","Этот блок больше не существует."
"This page no longer exists.","Эта страница больше не существует."
"Title","Заголовок"
"URL Key","Адрес"
"Unable to find a block to delete.","Невозможно найти блок для удаления."
"Unable to find a page to delete.","Невозможно найти страницу для удаления."
"WYSIWYG Options","Параметры WYSIWYG"
"px.","пикс."
