"Add","Добавить"
"Add gift message for shopping cart","Добавить поздравительное сообщение для корзины покупок"
"Add gift messages for quote item of shopping cart","Добавить поздравительное сообщение для позиций предложения в корзине покупок"
"Add gift messages to products of shopping cart","Добавить поздравительное сообщение товарам в корзине покупок"
"Add gift options","Добавить параметры подарка"
"Add gift options for Individual Items","Добавить параметры подарка для отдельной позиции"
"Add gift options for the Entire Order","Добавить параметры подарка для всего заказа"
"Add gift options.","Добавить параметры подарка."
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"An error occurred while saving the gift message.","Ошибка при сохранении поздравительного сообщения."
"Are you sure?","Вы уверены?"
"Cancel","Отменить"
"Check this checkbox if you want to add gift messages to your items.","Отметьте этот флажок, если вы хотите добавить поздравительные сообщения для ваших товаров."
"Check this checkbox if you want to add gift messages.","Отметьте этот флажок, если вы хотите добавить поздравительные сообщения."
"Do you have any gift items in your order?","У вас есть какие-либо подарки в вашем заказе?"
"Edit","Редактировать"
"Enter a gift message for each item in your order.","Введите поздравительное сообщение для каждого товара вашего заказа."
"Enter a gift message for entire order.","Введите поздравительное сообщение для всего заказа."
"Enter a gift message for this address.","Введите поздравительное сообщение для этого адреса."
"From","От"
"Gift Message","Поздравительное сообщение"
"Gift Message API","API поздравительных сообщений"
"Gift Messages","Поздравительные сообщения"
"Gift Options","Параметры подарка"
"Gift Options for","Параметры подарка для"
"Gift Options for Individual Items","Параметры подарка для отдельно позиции"
"Gift Options for the Entire Order.","Параметры подарка для всего заказа"
"Gift Options for this address.","Параметры подарка для этого адреса."
"Item %d of %d","Товар %d из %d."
"Message","Сообщение"
"No","Нет"
"OK","OK"
"Save Gift Message","Сохранить поздравительное сообщение"
"The gift message has been removed","Поздравительное сообщение удалено."
"The gift message has been saved","Поздравительное сообщение сохранено"
"The gift message has been saved.","Поздравительное сообщение сохранено."
"To","кому"
"Unknown entity type","Неизвестный тип сущности"
"Use config","Использовать настройки конфигурации"
"Yes","Да"
"You can leave this box blank if you do not wish to add a gift message for the item.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этой позиции."
"You can leave this box blank if you do not wish to add a gift message for this address.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этого адреса."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для всего заказа."
