"%s","%s"
"-- Please Select --","-- Выберите --"
"Actions","Действия"
"Add Layout Update","Добавить обновление макета"
"Add New Widget Instance","Добавить новый экземпляр виджета"
"All","Все"
"All Pages","Все страницы"
"All Product Types","Все типы товаров"
"An error occurred during saving a widget: %s","Ошибка при сохранении виджета: %s"
"Anchor Categories","Зафиксированные категории"
"Apply","Применить"
"Assign to Store Views","Назначить представлениям магазина"
"Big Image","Большое изображение"
"Block Reference","Номер блока"
"CMS","CMS"
"Categories","Категорий"
"Choose...","Выбрать..."
"Close","Закрыть"
"Continue","Продолжить"
"Default Template","Шаблон по умолчанию"
"Delete","Удалить"
"Design Package/Theme","Дизайн Пакет/Тема"
"Export to:","Экспортировать в:"
"Frontend Properties","Свойства пользовательской части"
"Generic Pages","Generic страницы"
"Images","Изображения"
"Insert Widget","Вставить виджет"
"Insert Widget...","Вставить виджет..."
"Layout Updates","Обновления макета"
"Manage Widget Instances","Управление экземплярами виджетов"
"New Instance","Новый экземпляр"
"New Widget Instance","Новый экземпляр виджета"
"Next page","Следующая страница"
"Non-Anchor Categories","Не зафиксированные категории"
"Not Selected","Не выбрано"
"Open Chooser","Выбрать"
"Page","Страница"
"Please Select Block Reference First","Выберите сначала номер блока"
"Previous page","Предыдущая страница"
"Products","Товары"
"Remove Layout Update","Удалить обновление макета"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Select All","Выбрать все"
"Select Visible","Выбрать видимые"
"Settings","Настройки"
"Sort Order","Порядок сортировки"
"Sort Order of widget instances in the same block reference","Порядок сортировки экземпляров виджета в одном блоке"
"Specific %s","Определённый %s"
"Specified Page","Указанная страница"
"Template","Шаблон"
"The information in this tab has been changed.","Информация в этой закладке была изменена."
"The widget instance has been deleted.","Экземпляр виджета удалён."
"The widget instance has been saved.","Экземпляр виджета сохранён."
"This tab contains invalid data. Please solve the problem before saving.","Эта закладка содержит неверные данные. Пожалуйста, решите проблему перед сохранением."
"Thumbnail","Мини-изображение"
"Total %d records found","Всего найдено записей %d"
"Type","Тип"
"Undefined Design Package or Theme.","Не определён Пакет дизайна или Тема."
"Unselect All","Снять все"
"Unselect Visible","Снять выбор с видимых"
"View","Выводить"
"Widget","Виджет"
"Widget ""%s""","Виджет ""%s"""
"Widget ID","ИД виджета"
"Widget Insertion","Вставка виджета"
"Widget Instance","Экземпляр виджета"
"Widget Instance Title","Заголовок экземпляра виджета"
"Widget Options","Параметры виджета"
"Widget Type","Тип виджета"
"Widget Type is not specified","Не указан тип виджета"
"Widget instance is not full complete to create.","Экземпляр виджета ещё не готов для создания."
"Widgets","Виджеты"
"Wrong widget instance specified.","Указан неверный экземпляр виджета."
"Wrong wigdet instance specified.","Указан неверный экземпляр виджета."
"items selected","позиций выбрано"
"of %s pages","из %s страниц"
"per page","на страницу"
